Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-MIC-EM-LE-3	2.443064579799747	0.8696146648607852	6.368885378512494	May	MIC	Empire	Leaf	3	Conventional	Low	2023-05-25T00:00:00Z	MIC_Empire_3
2023-1-MIC-HC-LE-1	4.770999221100526	0.9889269134934502	64.26655203611699	May	MIC	Honeycrisp	Leaf	1	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Honeycrisp_1
2023-1-MIC-HC-LE-2	4.086985987399495	0.9640925962303946	43.46370034394707	May	MIC	Honeycrisp	Leaf	2	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Honeycrisp_2
2023-1-MIC-HC-LE-3	4.9610825542156896	0.9901675954549684	82.30958733466333	May	MIC	Honeycrisp	Leaf	3	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Honeycrisp_3
2023-1-MIC-LI-LE-1	3.5985789663395615	0.8821248746394272	40.73532324022396	May	MIC	Liberty	Leaf	1	Conventional	Low	2023-05-25T00:00:00Z	MIC_Liberty_1
2023-1-MIC-LI-LE-3	4.3337033705149	0.9708956689860526	49.11430987078615	May	MIC	Liberty	Leaf	3	Conventional	Low	2023-05-25T00:00:00Z	MIC_Liberty_3
2023-1-MIC-SP-LE-1	4.173106017355431	0.9493698369537121	54.193146301993984	May	MIC	Spartan	Leaf	1	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Spartan_1
2023-1-MIC-SP-LE-2	4.042827720721813	0.9750312755244466	30.4645173393615	May	MIC	Spartan	Leaf	2	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Spartan_2
2023-1-MIC-SP-LE-3	4.6975463478505795	0.9868797882569452	62.4149067032719	May	MIC	Spartan	Leaf	3	Conventional	Moderate	2023-05-25T00:00:00Z	MIC_Spartan_3
2023-1-PMB-CL-FL-1	5.064418508254724	0.9906431902068836	94.01197159861354	May	PMB	Cortland	Flower	1	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_1
2023-1-PMB-CL-FL-2	3.758482703984622	0.9651264978649932	23.469142359422012	May	PMB	Cortland	Flower	2	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_2
2023-1-PMB-CL-FL-3	5.086603285151494	0.9925248911818529	88.2397530554829	May	PMB	Cortland	Flower	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_3
2023-1-PMB-CL-LE-1	5.038630317397554	0.9908499705338034	88.757156316703	May	PMB	Cortland	Leaf	1	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_1
2023-1-PMB-CL-LE-2	5.054733154891679	0.9906845462722677	93.67507295222406	May	PMB	Cortland	Leaf	2	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_2
2023-1-PMB-CL-LE-3	5.256802183099307	0.9934967587183755	108.83541661595201	May	PMB	Cortland	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Cortland_3
2023-1-PMB-EM-FL-1	4.595308832802011	0.981627567953185	60.84932104290595	May	PMB	Empire	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_1
2023-1-PMB-EM-FL-2	4.871829005817188	0.9898987810299728	71.75111054856062	May	PMB	Empire	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_2
2023-1-PMB-EM-FL-3	4.755348021330604	0.9884926748069188	63.94543996724475	May	PMB	Empire	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_3
2023-1-PMB-EM-LE-1	5.176108302233319	0.992442179051085	101.10633986756116	May	PMB	Empire	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_1
2023-1-PMB-EM-LE-2	5.229389223054787	0.9925248911818529	107.53343905255448	May	PMB	Empire	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_2
2023-1-PMB-EM-LE-3	5.190493294616898	0.9926903154433887	103.67451540612346	May	PMB	Empire	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Empire_3
2023-1-PMB-HC-FL-1	5.088228182509792	0.9918631941357099	91.61782777690969	May	PMB	Honeycrisp	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_1
2023-1-PMB-HC-FL-2	5.044860544545352	0.9920079403645536	85.08735817323465	May	PMB	Honeycrisp	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_2
2023-1-PMB-HC-FL-3	4.821006552343573	0.9902709856184283	65.17574559224332	May	PMB	Honeycrisp	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_3
2023-1-PMB-HC-LE-1	4.955423335933926	0.9865902957992576	89.86023445514931	May	PMB	Honeycrisp	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_1
2023-1-PMB-HC-LE-2	5.3886528526241095	0.9949442210068133	120.72544653267789	May	PMB	Honeycrisp	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_2
2023-1-PMB-HC-LE-3	5.2201939971492735	0.9930625200318441	105.86407592921815	May	PMB	Honeycrisp	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Honeycrisp_3
2023-1-PMB-LI-FL-1	5.191423929885512	0.9927730275741565	102.98195452699154	May	PMB	Liberty	Flower	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_1
2023-1-PMB-LI-FL-2	5.119115111841176	0.9925042131491609	92.8718994670128	May	PMB	Liberty	Flower	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_2
2023-1-PMB-LI-FL-3	4.596478217175751	0.9868177541588693	53.266574643734394	May	PMB	Liberty	Flower	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_3
2023-1-PMB-LI-LE-1	5.258629370481477	0.9936415049472193	107.10910385498218	May	PMB	Liberty	Leaf	1	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_1
2023-1-PMB-LI-LE-2	4.351821603157993	0.9784638289513136	44.14671534649259	May	PMB	Liberty	Leaf	2	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_2
2023-1-PMB-LI-LE-3	5.246349354372896	0.9935587928164514	106.77694092143767	May	PMB	Liberty	Leaf	3	Conventional	Low	2023-05-15T00:00:00Z	PMB_Liberty_3
2023-1-PMB-PR-FL-1	4.847684555389925	0.9809245148416579	82.90084341686936	May	PMB	Paulared	Flower	1	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_1
2023-1-PMB-PR-FL-2	5.124722820844537	0.9929384518356923	91.1887375287652	May	PMB	Paulared	Flower	2	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_2
2023-1-PMB-PR-FL-3	5.139813593187064	0.9928557397049245	94.46952927486613	May	PMB	Paulared	Flower	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_3
2023-1-PMB-PR-LE-3	4.869830698262383	0.9894645423434414	72.0878572575655	May	PMB	Paulared	Leaf	3	Conventional	High	2023-05-15T00:00:00Z	PMB_Paulared_3
2023-1-PMB-SP-FL-1	4.937124753095964	0.990477765945348	77.765167149984	May	PMB	Spartan	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_1
2023-1-PMB-SP-FL-2	4.981507497686783	0.9913462433184107	79.73648319565876	May	PMB	Spartan	Flower	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_2
2023-1-PMB-SP-FL-3	4.864789404174562	0.9905604780761158	68.75488874755091	May	PMB	Spartan	Flower	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_3
2023-1-PMB-SP-LE-1	5.319575011577794	0.9944272701895142	112.68289170766467	May	PMB	Spartan	Leaf	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_1
2023-1-PMB-SP-LE-2	5.126679324729286	0.9919665842991697	95.72955609407077	May	PMB	Spartan	Leaf	2	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_2
2023-1-PMB-SP-LE-3	5.202908742887171	0.9932693003587638	100.83983352685321	May	PMB	Spartan	Leaf	3	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Spartan_3
2023-1-PMB-SR-FL-1	4.8744905264249025	0.9899194590626648	72.6757101268624	May	PMB	Sunrise	Flower	1	Conventional	Moderate	2023-05-15T00:00:00Z	PMB_Sunrise_1
