Sample	Shannon	Simpson	Tail	time	site	cultivar	type	replicate	practice	susceptibility	date	treeID
2023-1-VBS-FR-LE-2	2.743317119327363	0.8044312895273185	22.82411852032973	May	VBS	Freedom	Leaf	2	Organic	Low	2023-05-23T00:00:00Z	VBS_Freedom_2
2023-1-VBS-FR-LE-3	3.751281457655148	0.9506694132667269	39.248578083952175	May	VBS	Freedom	Leaf	3	Organic	Low	2023-05-23T00:00:00Z	VBS_Freedom_3
2023-1-VBS-HC-FL-1	4.08353174917065	0.9502700423904163	62.06570690108848	May	VBS	Honeycrisp	Flower	1	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Honeycrisp_1
2023-1-VBS-HC-FL-2	3.7608768347796544	0.9498523420475847	40.0007661555509	May	VBS	Honeycrisp	Flower	2	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Honeycrisp_2
2023-1-VBS-HC-FL-3	4.299004910143448	0.9666893670059734	62.893970723087115	May	VBS	Honeycrisp	Flower	3	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Honeycrisp_3
2023-1-VBS-HC-LE-1	3.4980158231484233	0.9134422667628261	41.19400252256043	May	VBS	Honeycrisp	Leaf	1	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Honeycrisp_1
2023-1-VBS-HC-LE-2	3.2221805637848724	0.8925910886363654	29.27998975696416	May	VBS	Honeycrisp	Leaf	2	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Honeycrisp_2
2023-1-VBS-HC-LE-3	3.9171668294649566	0.9551597800746011	49.44037364098158	May	VBS	Honeycrisp	Leaf	3	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Honeycrisp_3
2023-1-VBS-LI-FL-1	3.91653579283665	0.9559447747273316	39.18266014990782	May	VBS	Liberty	Flower	1	Organic	Low	2023-05-23T00:00:00Z	VBS_Liberty_1
2023-1-VBS-LI-LE-2	3.8975456911278847	0.9534741741341619	46.6307016264281	May	VBS	Liberty	Leaf	2	Organic	Low	2023-05-23T00:00:00Z	VBS_Liberty_2
2023-1-VBS-LI-LE-3	3.780937035735886	0.9491279756302694	40.38528757556238	May	VBS	Liberty	Leaf	3	Organic	Low	2023-05-23T00:00:00Z	VBS_Liberty_3
2023-1-VBS-PR-FL-1	3.1976771567271483	0.897192842202328	30.334290589337247	May	VBS	Paulared	Flower	1	Organic	High	2023-05-23T00:00:00Z	VBS_Paulared_1
2023-1-VBS-PR-FL-2	3.1325845680468305	0.864111680029553	33.19414685438426	May	VBS	Paulared	Flower	2	Organic	High	2023-05-23T00:00:00Z	VBS_Paulared_2
2023-1-VBS-PR-FL-3	2.760841161299253	0.7926880938130297	25.26839139506855	May	VBS	Paulared	Flower	3	Organic	High	2023-05-23T00:00:00Z	VBS_Paulared_3
2023-1-VBS-PR-LE-1	2.8461037340817312	0.8397680335513836	20.76313782951141	May	VBS	Paulared	Leaf	1	Organic	High	2023-05-23T00:00:00Z	VBS_Paulared_1
2023-1-VBS-PR-LE-2	3.127847657339189	0.9140066028378245	19.837437573210725	May	VBS	Paulared	Leaf	2	Organic	High	2023-05-23T00:00:00Z	VBS_Paulared_2
2023-1-VBS-PR-LE-3	2.1179954905877896	0.7642693134416324	9.715019922299701	May	VBS	Paulared	Leaf	3	Organic	High	2023-05-23T00:00:00Z	VBS_Paulared_3
2023-1-VBS-SP-FL-1	3.962938746533262	0.9533493927659237	48.50131785583922	May	VBS	Spartan	Flower	1	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Spartan_1
2023-1-VBS-SP-FL-2	3.222018767131805	0.8225661817112816	41.38242933418308	May	VBS	Spartan	Flower	2	Organic	Moderate	2023-05-23T00:00:00Z	VBS_Spartan_2
