File	Read_Count
2023-1-PMB-LI-FL-1-16S_S61_L001_R1_001.fastq.gz	18170
2023-1-PMB-LI-FL-1-16S_S61_L001_R2_001.fastq.gz	18170
2023-1-PMB-LI-FL-2-16S_S63_L001_R1_001.fastq.gz	24404
2023-1-PMB-LI-FL-2-16S_S63_L001_R2_001.fastq.gz	24404
2023-1-PMB-LI-FL-3-16S_S65_L001_R1_001.fastq.gz	14221
2023-1-PMB-LI-FL-3-16S_S65_L001_R2_001.fastq.gz	14221
2023-1-PMB-LI-LE-1-16S_S62_L001_R1_001.fastq.gz	17522
2023-1-PMB-LI-LE-1-16S_S62_L001_R2_001.fastq.gz	17522
2023-1-PMB-LI-LE-2-16S_S64_L001_R1_001.fastq.gz	11471
2023-1-PMB-LI-LE-2-16S_S64_L001_R2_001.fastq.gz	11471
2023-1-PMB-LI-LE-3-16S_S66_L001_R1_001.fastq.gz	18033
2023-1-PMB-LI-LE-3-16S_S66_L001_R2_001.fastq.gz	18033
2023-1-PMB-PR-FL-1-16S_S43_L001_R1_001.fastq.gz	25009
2023-1-PMB-PR-FL-1-16S_S43_L001_R2_001.fastq.gz	25009
2023-1-PMB-PR-FL-2-16S_S45_L001_R1_001.fastq.gz	18306
2023-1-PMB-PR-FL-2-16S_S45_L001_R2_001.fastq.gz	18306
2023-1-PMB-PR-FL-3-16S_S47_L001_R1_001.fastq.gz	21096
2023-1-PMB-PR-FL-3-16S_S47_L001_R2_001.fastq.gz	21096
2023-1-PMB-PR-LE-3-16S_S48_L001_R1_001.fastq.gz	18207
2023-1-PMB-PR-LE-3-16S_S48_L001_R2_001.fastq.gz	18207
2023-1-PMB-SP-FL-1-16S_S55_L001_R1_001.fastq.gz	22129
2023-1-PMB-SP-FL-1-16S_S55_L001_R2_001.fastq.gz	22129
2023-1-PMB-SP-FL-2-16S_S57_L001_R1_001.fastq.gz	50405
2023-1-PMB-SP-FL-2-16S_S57_L001_R2_001.fastq.gz	50405
2023-1-PMB-SP-FL-3-16S_S59_L001_R1_001.fastq.gz	22297
2023-1-PMB-SP-FL-3-16S_S59_L001_R2_001.fastq.gz	22297
2023-1-PMB-SP-LE-1-16S_S56_L001_R1_001.fastq.gz	26945
2023-1-PMB-SP-LE-1-16S_S56_L001_R2_001.fastq.gz	26945
2023-1-PMB-SP-LE-2-16S_S58_L001_R1_001.fastq.gz	18108
2023-1-PMB-SP-LE-2-16S_S58_L001_R2_001.fastq.gz	18108
2023-1-PMB-SP-LE-3-16S_S60_L001_R1_001.fastq.gz	20597
2023-1-PMB-SP-LE-3-16S_S60_L001_R2_001.fastq.gz	20597
2023-1-PMB-SR-FL-1-16S_S73_L001_R1_001.fastq.gz	8601
2023-1-PMB-SR-FL-1-16S_S73_L001_R2_001.fastq.gz	8601
2023-1-PMB-SR-FL-2-16S_S75_L001_R1_001.fastq.gz	9032
2023-1-PMB-SR-FL-2-16S_S75_L001_R2_001.fastq.gz	9032
2023-1-PMB-SR-FL-3-16S_S77_L001_R1_001.fastq.gz	11550
2023-1-PMB-SR-FL-3-16S_S77_L001_R2_001.fastq.gz	11550
2023-1-PMB-SR-LE-1-16S_S74_L001_R1_001.fastq.gz	9110
2023-1-PMB-SR-LE-1-16S_S74_L001_R2_001.fastq.gz	9110
2023-1-PMB-SR-LE-2-16S_S76_L001_R1_001.fastq.gz	11054
2023-1-PMB-SR-LE-2-16S_S76_L001_R2_001.fastq.gz	11054
2023-1-PMB-SR-LE-3-16S_S78_L001_R1_001.fastq.gz	13338
2023-1-PMB-SR-LE-3-16S_S78_L001_R2_001.fastq.gz	13338
2023-1-PMP-PR-LE-1-16S_S44_L001_R1_001.fastq.gz	17245
2023-1-PMP-PR-LE-1-16S_S44_L001_R2_001.fastq.gz	17245
2023-1-PMP-PR-LE-2-16S_S46_L001_R1_001.fastq.gz	18065
